"sample_molecule_ch1","sample_molecule_ch2","sample_source_name_ch1","sample_status","sample_library_selection","sample_library_source","sample_extract_protocol_ch1","sample_extract_protocol_ch2","sample_label_protocol_ch1","sample_source_name_ch2","sample_library_strategy","sample_characteristics_ch2","sample_label_protocol_ch2","sample_label_protocol","sample_series_id","sample_data_processing","sample_description","sample_characteristics_ch1","sample_organism_ch1","tissue","sample_type","sample_title","sample_name","sample_hyb_protocol","sample_label_ch2","disease_state","ethnicity","time_point","tmprss2","treatment","cancer_status","tissuer_type","tumor_type","age","gleason_score","pathologic_tumor_stage","gleason_grade","t-stage","margin_status","preop_psa","bcr","bcr_free_time"
"total RNA",NA,"DU145 prostate cancer cells, Usp9XY shRNA, rep1","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells transfected with Usp9XY shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, Usp9XY shRNA, rep1","du145_prostate_cancer_cells_usp9xy_shrna_rep1",NA,NA,NA,NA,NA,NA,"Usp9XY shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, transfection control, rep1","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, transfection reagent without shRNA construct",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, transfection control, rep1","du145_prostate_cancer_cells_transfection_control_rep1",NA,NA,NA,NA,NA,NA,"transfection control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, unperturbed, rep1","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, unperturbed",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, unperturbed, rep1","du145_prostate_cancer_cells_unperturbed_rep1",NA,NA,NA,NA,NA,NA,"unperturbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, transfection control, rep2","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, transfection reagent without shRNA construct",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, transfection control, rep2","du145_prostate_cancer_cells_transfection_control_rep2",NA,NA,NA,NA,NA,NA,"transfection control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, Usp9X shRNA, rep1","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells transfected with Usp9X shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, Usp9X shRNA, rep1","du145_prostate_cancer_cells_usp9x_shrna_rep1",NA,NA,NA,NA,NA,NA,"Usp9X shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, Usp9XY shRNA, rep2","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells transfected with Usp9XY shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, Usp9XY shRNA, rep2","du145_prostate_cancer_cells_usp9xy_shrna_rep2",NA,NA,NA,NA,NA,NA,"Usp9XY shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, Usp9XY shRNA, rep3","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells transfected with Usp9XY shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, Usp9XY shRNA, rep3","du145_prostate_cancer_cells_usp9xy_shrna_rep3",NA,NA,NA,NA,NA,NA,"Usp9XY shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, unperturbed, rep2","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, unperturbed",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, unperturbed, rep2","du145_prostate_cancer_cells_unperturbed_rep2",NA,NA,NA,NA,NA,NA,"unperturbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, Usp9X shRNA, rep2","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells transfected with Usp9X shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, Usp9X shRNA, rep2","du145_prostate_cancer_cells_usp9x_shrna_rep2",NA,NA,NA,NA,NA,NA,"Usp9X shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, unperturbed, rep3","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, unperturbed",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, unperturbed, rep3","du145_prostate_cancer_cells_unperturbed_rep3",NA,NA,NA,NA,NA,NA,"unperturbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, scrambled shRNA, rep1","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, transfected with scrambled shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, scrambled shRNA, rep1","du145_prostate_cancer_cells_scrambled_shrna_rep1",NA,NA,NA,NA,NA,NA,"scrambled shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, Usp9X shRNA, rep3","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells transfected with Usp9X shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, Usp9X shRNA, rep3","du145_prostate_cancer_cells_usp9x_shrna_rep3",NA,NA,NA,NA,NA,NA,"Usp9X shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, scrambled shRNA, rep2","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, transfected with scrambled shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, scrambled shRNA, rep2","du145_prostate_cancer_cells_scrambled_shrna_rep2",NA,NA,NA,NA,NA,NA,"scrambled shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, scrambled shRNA, rep3","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, transfected with scrambled shRNA",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, scrambled shRNA, rep3","du145_prostate_cancer_cells_scrambled_shrna_rep3",NA,NA,NA,NA,NA,NA,"scrambled shRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"DU145 prostate cancer cells, transfection control, rep3","Public on Dec 01 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE79376",NA,"Gene expression data from DU145 prostate cancer cells, transfection reagent without shRNA construct",NA,"Homo sapiens","DU145 prostate cancer cells","RNA","DU145 prostate cancer cells, transfection control, rep3","du145_prostate_cancer_cells_transfection_control_rep3",NA,NA,NA,NA,NA,NA,"transfection control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
