"sample_molecule_ch1","sample_molecule_ch2","sample_source_name_ch1","sample_status","sample_library_selection","sample_library_source","sample_extract_protocol_ch1","sample_extract_protocol_ch2","sample_label_protocol_ch1","sample_source_name_ch2","sample_library_strategy","sample_characteristics_ch2","sample_label_protocol_ch2","sample_label_protocol","sample_series_id","sample_data_processing","sample_description","sample_characteristics_ch1","sample_organism_ch1","tissue","sample_type","sample_title","sample_name","sample_hyb_protocol","sample_label_ch2","disease_state","ethnicity","time_point","tmprss2","treatment","cancer_status","tissuer_type","tumor_type","age","gleason_score","pathologic_tumor_stage","gleason_grade","t-stage","margin_status","preop_psa","bcr","bcr_free_time"
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","m_control_01","m_control_01",NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","m_control_02","m_control_02",NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","m_control_03","m_control_03",NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","m_50gy_01","m_50gy_01",NA,NA,NA,NA,NA,NA,"irradiated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","m_50gy_02","m_50gy_02",NA,NA,NA,NA,NA,NA,"irradiated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","m_50gy_03","m_50gy_03",NA,NA,NA,NA,NA,NA,"irradiated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","p_control_01","p_control_01",NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","p_control_02","p_control_02",NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","p_control_03","p_control_03",NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","p_50gy_01","p_50gy_01",NA,NA,NA,NA,NA,NA,"irradiated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","p_50gy_02","p_50gy_02",NA,NA,NA,NA,NA,NA,"irradiated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"prostate","Public on Jan 22 2022","cDNA","transcriptomic",NA,NA,NA,NA,"RNA-Seq",NA,NA,NA,"GSE193963",NA,NA,NA,"Homo sapiens","DU145 xenograft tumor","SRA","p_50gy_03","p_50gy_03",NA,NA,NA,NA,NA,NA,"irradiated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
